*;base;gen
cn_Nectan.m;Нектан;
cn_Neel.f;Неел;
cn_Negudei.m;Негудеи;
cn_Nehanda.f;Неханда;
cn_Neidhart.m;Неидхарт;
cn_Neil.m;Нийл;
cn_Neill.m;Неилл;
cn_Neilos.m;Неилос;
cn_Neophytos.m;Неофитос;
cn_Nephon.m;Нефон;
cn_Nergui.m;Нергуи;
cn_Nerone.m;Нероне;
cn_Nerses.m;Нерсес;
cn_Nes.m;Нес;
cn_Nest.f;Нест;
cn_Nestoritsa.m;Несторитса;
cn_Netimeras.m;Нетимерас;
cn_Ni_matallah.m;Ниматаллах;
cn_Niall.m;Ниалл;
cn_Niccolo.m;Никколо;
cn_Nicephorus.m;Никефорус;
cn_Nicholai.m;Ничолаи;
cn_Nicholas.m;Николай;
cn_Nicholaus.m;Ничолаус;
cn_Nicola.m;Никола;
cn_Nicolae.m;Николае;
cn_Nicolae_Alexandru.m;Николае-Александру;
cn_Nicolas.m;Никола;
cn_Nicolaus.m;Николаус;
cn_Nicole.f;Никол;
cn_Nicolette.f;Николетте;
cn_Nicolo.m;Николо;
cn_Niels.m;Ниелс;
cn_Nigel.m;Нигел;
cn_Nigelli.m;Нигелли;
cn_Nikephoros.m;Никифор;
cn_Niketas.m;Никетас;
cn_Nikete.m;Никете;
cn_Nikodim.m;Никодим;
cn_Nikola.m;Никола;
cn_Nikolai.m;Николаи;
cn_Nikolaos.m;Николаос;
cn_Nikolas.m;Николас;
cn_Nikolay.m;Николаи;
cn_Nikon.m;Никон;
cn_Nikrai.m;Никраи;
cn_Nikulitsa.m;Никулитса;
cn_Nils.m;Нилс;
cn_Nilufer.f;Нилуфер;
cn_Nilus.m;Нилус;
cn_Nitona.f;Нитона;
cn_Nizam.m;Низам;
cn_Nizar.m;Низар;
cn_Nizhan.m;Низхан;
cn_Noder.m;Нодер;
cn_Noemie.f;Ноемие;
cn_Nogai.m;Ногаи;
cn_Noldo.m;Нолдо;
cn_Nomulun.f;Номулун;
cn_Noqai.m;Нокаи;
cn_Nordine.m;Нордине;
cn_Norman.m;Норман;
cn_Nour.m;Ноур;
cn_Noureddin.m;Ноуреддин;
cn_Nouri.m;Ноури;
cn_Novak.m;Новак;
cn_Nuala.f;Нуала;
cn_Nuh.m;Нух;
cn_Nujayh.m;Нуяих;
cn_Nukdak.f;Нукдак;
cn_Nuno.m;Нуно;
cn_Nur.f;Нур;
cn_Nur.m;Нур;
cn_Nure.m;Нуре;
cn_Nusrat.m;Нусрат;
cn_Nyyrikki.m;Ниирикки;
cn_Nzingha.f;Нзингха;
cn_Oba.m;Оба;
cn_Oberto.m;Оберто;
cn_Obeyd.m;Обеид;
cn_Octavia.f;Октавиа;
cn_Oddny.f;Оддни;
cn_Odile.f;Одиле;
cn_Odilia.f;Одилиа;
cn_Odo.m;Одо;
cn_Odola.f;Одола;
cn_Odonel.m;Одонел;
cn_Oelsun.f;Оелсун;
cn_Oenghus.m;Оенгхус;
cn_Ofeigr.m;Офеигр;
cn_Ogedei.m;Огедеи;
cn_Oghul.f;Огхул;
cn_Ogier.m;Огиер;
cn_Ogmund.m;Огмунд;
cn_Oin.m;Оин;
cn_Okin.m;Окин;
cn_Okin_Barkhakh.m;Окин-Баркхакх;
cn_Olaf.m;Олаф;
cn_Olav.m;Олав;
cn_Olavi.m;Олави;
cn_Oldegar.m;Олдегар;
cn_Ole.m;Оле;
cn_Oleg.m;Олег;
cn_Olegario.m;Олегарио;
cn_Olena.f;Олена;
cn_Olga.f;Олга;
cn_Olgierd.m;Олгиерд;
cn_Oliver.m;Оливър;
cn_Olivia.f;Оливия;
cn_Olivier.m;Оливиер;
cn_Oljatai.f;Олятаи;
cn_Oljath.f;Олят;
cn_Oljeitu.m;Олйеиту;
cn_Olof.m;Олоф;
cn_Olvir.m;Олвир;
cn_Omar.m;Омар;
cn_Omara.m;Омара;
cn_Oncs.m;Онкс;
cn_Opir.m;Опир;
cn_Orabilia.f;Орабилиа;
cn_Orabilis.f;Орабилис;
cn_Orbasz.m;Орбасз;
cn_Orda.m;Орда;
cn_Ordelafo.m;Орделафо;
cn_Ordono.m;Ордоно;
cn_Ordu.f;Орду;
cn_Oreakja.m;Ореакя;
cn_Orfhlaith.f;Орфхлаит;
cn_Orghana.f;Оргхана;
cn_Orhan.m;Орхан;
cn_Oriel.f;Ориел;
cn_Orio.m;Орио;
cn_Orlacan.f;Орлакан;
cn_Orlaith.f;Орлаит;
cn_Orlando.m;Орландо;
cn_Orm.m;Орм;
cn_Orqina.f;Оркина;
cn_Orsino.m;Орсино;
cn_Orti.m;Орти;
cn_Ortlieb.m;Ортлиеб;
cn_Ortolf.m;Ортолф;
cn_Osanna.f;Осанна;
cn_Osbern.m;Осберн;
cn_Osbert.m;Осберт;
cn_Oscar.m;Оскар;
cn_Osei.m;Осеи;
cn_Oshin.m;Ошин;
cn_Osman.m;Осман;
cn_Osmo.m;Осмо;
cn_Osmundo.m;Осмундо;
cn_Osorio.m;Осорио;
cn_Osprant.m;Оспрант;
cn_Ostasio.m;Остасио;
cn_Osterhild.f;Остерхилд;
cn_Oswald.m;Освалд;
cn_Otagho.m;Отагхо;
cn_Otak.m;Отак;
cn_Otakar.m;Отакар;
cn_Otchi.m;Отчи;
cn_Otes.m;Отес;
cn_Othelhilde.f;Отелхилде;
cn_Othman.m;Отман;
cn_Othmane.m;Отмане;
cn_Othon.m;Отон;
cn_Otmar.m;Отмар;
cn_Otnand.m;Отнанд;
cn_Oton.m;Отон;
cn_Otrok.m;Отрок;
cn_Ottar.m;Оттар;
cn_Ottaviano.m;Оттавиано;
cn_Ottilie.f;Оттилие;
cn_Otto.m;Ото;
cn_Ottokar.m;Оттокар;
cn_Ottone.m;Оттоне;
cn_Otz.m;Отз;
cn_Ouardia.f;Оуардиа;
cn_Ouati.m;Оуати;
cn_Oussama.m;Оуссама;
cn_Ovanes.m;Ованес;
cn_Oveco.m;Овеко;
cn_Owain.m;Оуаин;
cn_Oways.m;Оуаис;
cn_Ozbeg.m;Озбег;
cn_Ozseb.m;Озсеб;
cn_Paavo.m;Пааво;
cn_Padraig.m;Падраиг;
cn_Pahlavan.m;Пахлаван;
cn_Pal.m;Пал;
cn_Pall.m;Палл;
cn_Palmeria.f;Палмериа;
cn_Panagiotis.m;Панагиотис;
cn_Pandolfo.m;Пандолфо;
cn_Pandulf.m;Пандулф;
cn_Pantaleon.m;Панталеон;
cn_Panyit.m;Паниит;
cn_Paolo.m;Паоло;
cn_Parandzem.f;Парандзем;
cn_Paraskeva.f;Параскева;
cn_Partho.f;Парто;
cn_Pascal.m;Паскал;
cn_Paschal.m;Пасчал;
cn_Paschalis.m;Пасчалис;
cn_Paska.m;Паска;
cn_Pasqual.m;Пасквал;
cn_Pat.m;Пат;
cn_Patricia.f;Патрикиа;
cn_Patricius.m;Патрикиус;
cn_Patrick.m;Патрик;
cn_Patrika.m;Патрика;
cn_Patrikas.m;Патрикас;
cn_Patrikei.m;Патрикеи;
cn_Paul.m;Павел;
cn_Paula.f;Паула;
cn_Paulina.f;Паулина;
cn_Pavle.m;Павле;
cn_Pavstos.m;Павстос;
cn_Payn.m;Паин;
cn_Peder.m;Педер;
cn_Pedro.m;Педро;
cn_Peire.m;Пеире;
cn_Peires.m;Пеирес;
cn_Pekko.m;Пекко;
cn_Pelayo.m;Пелаио;
cn_Pelfort.m;Пелфорт;
cn_Pellervo.m;Пеллерво;
cn_Penota.f;Пенота;
cn_Pepin.m;Пепин;
cn_Per.m;Пер;
cn_Pera.f;Пера;
cn_Perceval.m;Перкевал;
cn_Percival.m;Перкивал;
cn_Pere.m;Пере;
cn_Pereyaslava.f;Переиаслава;
cn_Peris.m;Перис;
cn_Perkko.m;Перкко;
cn_Perot.m;Перот;
cn_Perrin.m;Перрин;
cn_Pertu.m;Перту;
cn_Pervane.m;Перване;
cn_Perweur.f;Перуеур;
cn_Peryf.m;Периф;
cn_Petair.m;Петаир;
cn_Petar.m;Петар;
cn_Peter.m;Петър;
cn_Petka.f;Петка;
cn_Petka.m;Петка;
cn_Peto.m;Пето;
cn_Petr.m;Петр;
cn_Petras.m;Петрас;
cn_Petrislav.m;Петрислав;
cn_Petro.m;Петро;
cn_Petrona.f;Петрона;
cn_Petronella.f;Петронелла;
cn_Petronilla.f;Петронила;
cn_Petronille.f;Петронилле;
cn_Petros.m;Петрос;
cn_Petru.m;Петру;
cn_Petrucio.m;Петрукио;
cn_Petrus.m;Петрус;
cn_Pevela.f;Певела;
cn_Peveral.m;Певерал;
cn_Peyronela.f;Пеиронела;
cn_Pharadavla.m;Фарадавла;
cn_Pharen.m;Фарен;
cn_Philagatos.m;Филагатос;
cn_Philaretos.m;Филаретос;
cn_Philip.m;Филип;
cn_Philippa.f;Филипа;
cn_Philippe.m;Филиппе;
cn_Philotheus.m;Филотеус;
cn_Phylip.m;Филип;
cn_Picarda.f;Пикарда;
cn_Pierre.m;Пиер;
cn_Pierre_Bernard.m;Пиерре-Бернард;
cn_Piet.m;Пиет;
cn_Pieter.m;Пиетер;
cn_Pietro.m;Пиетро;
cn_Pilartos.m;Пилартос;
cn_Pilib.m;Пилиб;
cn_Pinamonte.m;Пинамонте;
cn_Piotr.m;Пиотр;
cn_Piroska.f;Пироска;
cn_Pirro.m;Пирро;
cn_Pius.m;Пий;
cn_Pjeter.m;Пйетер;
cn_Plaisance.f;Плаисанке;
cn_Plazensa.f;Плазенса;
cn_Plikys.m;Пликис;
cn_Pohto.m;Похто;
cn_Ponce.m;Понке;
cn_Poncia.f;Понкиа;
cn_Pons.m;Понс;
cn_Poppo.m;Поппо;
cn_Portia.f;Портиа;
cn_Pos.m;Пос;
cn_Pothos.m;Потос;
cn_Poukyik.m;Поукиик;
cn_Praxedes.f;Пракседес;
cn_Precieuse.f;Прекиеусе;
cn_Predislav.m;Предислав;
cn_Predslava.f;Предслава;
cn_Preljub.m;Прелюб;
cn_Presian.m;Пресиан;
cn_Preziosa.f;Презиоса;
cn_Pribislaw.m;Прибислау;
cn_Progon.m;Прогон;
cn_Prohor.m;Прохор;
cn_Prudentia.f;Прудентиа;
cn_Prydydd.m;Придидд;
cn_Przemysl.m;Прземисл;
cn_Punik.m;Пуник;
cn_Pyfog.f;Пифог;
cn_Pyotr.m;Пиотр;
cn_Qaboos.m;Кабоос;
cn_Qabus.m;Кабус;
cn_Qada_an.m;Кадаан;
cn_Qaid.m;Каид;
cn_Qalawun.m;Калауун;
cn_Qalidurit.m;Калидурит;
cn_Qamari.m;Камари;
cn_Qara.m;Кара;
cn_Qariba.f;Кариба;
cn_Qasem_e.m;Касеме;
cn_Qasim.m;Касим;
cn_Qasmuna.f;Касмуна;
cn_Qatada.m;Катада;
cn_Qatadah.m;Катадах;
cn_Qavam.m;Кавам;
cn_Qaymaqar.m;Каимакар;
cn_Qazi.m;Кази;
cn_Qizil.m;Кизил;
cn_Qochar.m;Кочар;
cn_Qoldaq.f;Колдак;
cn_Qotb.m;Котб;
cn_Qotlogh.f;Котлогх;
cn_Qu.m;Кв;
cn_Qudamah.m;Квдамах;
cn_Qudu.m;Квду;
cn_Quduka.m;Квдука;
cn_Qulpa.m;Квлпа;
cn_Qunchuqbal.m;Квнчукбал;
cn_Qurumshi.m;Кврумши;
cn_Qutlu.m;Квтлу;
cn_Qutlugh.f;Квтлугх;
cn_Qutluqqan.f;Квтлуккан;
cn_Qutui.f;Квтуи;
cn_Qutuqui.f;Квтукви;
cn_Qvarqvare.m;Кваркваре;
cn_Rabah.m;Рабах;
cn_Rabodo.m;Рабодо;
cn_Rachelle.f;Рачелле;
cn_Racibor.m;Ракибор;
cn_Rad.m;Рад;
cn_Radivoj.m;Радивой;
cn_Radiya.f;Радия;
cn_Rado.m;Радо;
cn_Radoslav.m;Радослав;
cn_Radu.m;Раду;
cn_Radulf.m;Радулф;
cn_Radulpho.m;Радулфо;
cn_Radvan.m;Радван;
cn_Radvila.m;Радвила;
cn_Radwan.m;Радуан;
cn_Rafael.m;Рафаел;
cn_Raffaello.m;Раффаелло;
cn_Raghnait.f;Рагхнаит;
cn_Ragna.f;Рагна;
cn_Ragnal.m;Рагнал;
cn_Ragnall.m;Рагналл;
cn_Ragnar.m;Рагнар;
cn_Ragnfrid.f;Рагнфрид;
cn_Ragnhild.f;Рагнхилд;
cn_Ragnvald.m;Рагнвалд;
cn_Rah.f;Рах;
cn_Raha.f;Раха;
cn_Rahman.m;Рахман;
cn_Raibeart.m;Раибеарт;
cn_Raiktor.m;Раиктор;
cn_Raimbaud.m;Раимбауд;
cn_Raimon.m;Раимон;
cn_Raimondo.m;Раимондо;
cn_Rainald.m;Раиналд;
cn_Rainautz.m;Раинаутз;
cn_Rainers.m;Раинерс;
cn_Rainier.m;Раиниер;
cn_Rainulf.m;Раинулф;
cn_Ralf.m;Ралф;
cn_Ralph.m;Ралф;
cn_Ramberto.m;Рамберто;
cn_Ramiro.m;Рамиро;
cn_Ramlah.f;Рамлах;
cn_Ramon.m;Рамон;
cn_Ramons.m;Рамонс;
cn_Ramung.m;Рамунг;
cn_Ramwold.m;Рамуолд;
cn_Ranald.m;Раналд;
cn_Randal.m;Рандал;
cn_Randulph.m;Рандулф;
cn_Raniero.m;Раниеро;
cn_Ranulf.m;Ранулф;
cn_Ranulphi.m;Ранулфи;
cn_Raolf.m;Раолф;
cn_Raoul.m;Раоул;
cn_Raphael.m;Рафаел;
cn_Rapoto.m;Рапото;
cn_Rashid.m;Рашид;
cn_Rashida.f;Рашида;
cn_Raso.m;Расо;
cn_Rati.m;Рати;
cn_Ratiers.m;Ратиерс;
cn_Rawh.m;Раух;
cn_Rayhan.m;Раихан;
cn_Rayhana.f;Раихана;
cn_Rayko.m;Раико;
cn_Raymond.m;Реймон;
cn_Raymonda.f;Раимонда;
cn_Raymunda.f;Раимунда;
cn_Raynald.m;Раиналд;
cn_Rayner.m;Раинер;
cn_Rayya.f;Раия;
cn_Raziya.f;Разия;
cn_Rbert.m;Робърт;
cn_Reamonn.m;Реамонн;
cn_Regina.f;Регина;
cn_Reginald.m;Реджиналд;
cn_Reginar.m;Регинар;
cn_Regitze.f;Регитзе;
cn_Reiambalts.m;Реиамбалтс;
cn_Reidar.m;Реидар;
cn_Reinhard.m;Реинхард;
cn_Reinold.m;Реинолд;
cn_Reiprecht.m;Реипречт;
cn_Rene.m;Рене;
cn_Renier.m;Рениер;
cn_Renilde.f;Ренилде;
cn_Replys.m;Реплис;
cn_Reposh.m;Репош;
cn_Reynard.m;Реинард;
cn_Reynfred.m;Реинфред;
cn_Reynfrid.m;Реинфрид;
cn_Reynold.m;Рейнолд;
cn_Reynor.m;Реинор;
cn_Rhael.f;Рхаел;
cn_Rhanullt.f;Рхануллт;
cn_Rhiryd.m;Рхирид;
cn_Rhisiart.m;Рхисиарт;
cn_Rhissa.m;Рхисса;
cn_Rhiwallon.m;Рхиуаллон;
cn_Rhodri.m;Рходри;
cn_Rhun.m;Рхун;
cn_Rhydderch.m;Рхиддерч;
cn_Rhygyfarch.m;Рхигифарч;
cn_Rhys.m;Рхис;
cn_Ricals.m;Рикалс;
cn_Ricartz.m;Рикартз;
cn_Riccardo.m;Риккардо;
cn_Riccha.f;Рикча;
cn_Richard.m;Ричард;
cn_Richarda.f;Ричарда;
cn_Richardis.f;Ричардис;
cn_Richart.m;Ричарт;
cn_Richarte.m;Ричарте;
cn_Richemaya.f;Ричемаиа;
cn_Richenza.f;Риченза;
cn_Richgard.f;Ричгард;
cn_Richmond.m;Ричмонд;
cn_Richolda.f;Ричолда;
cn_Richolf.m;Ричолф;
cn_Rickard.m;Риккард;
cn_Rickwald.m;Риккуалд;
cn_Rihissa.f;Рихисса;
cn_Rikard.m;Рикард;
cn_Rikardis.f;Рикардис;
cn_Rikissa.f;Рикисса;
cn_Rimbert.m;Римберт;
cn_Rimgaile.f;Римгаиле;
cn_Rinalde.f;Риналде;
cn_Rinaldo.m;Риналдо;
cn_Ringala.f;Рингала;
cn_Ringaudas.m;Рингаудас;
cn_Ripsime.f;Рипсиме;
cn_Riquers.m;Рикверс;
cn_Rita.f;Рита;
cn_Rixa.f;Рикса;
cn_Rixeda.f;Рикседа;
cn_Riyad.m;Рияд;
cn_Robert.m;Робърт;
cn_Roberto.m;Роберто;
cn_Robertz.m;Робертз;
cn_Robin.m;Робин;
cn_Rodaidh.m;Родаидх;
cn_Rodfos.m;Родфос;
cn_Rodrigo.m;Родриго;
cn_Roe.m;Рое;
cn_Roen.m;Роен;
cn_Rogaus.m;Рогаус;
cn_Roger.m;Роджър;
cn_Rogeri.m;Рогери;
cn_Rogers.m;Рогерс;
cn_Rogneda.f;Рогнеда;
cn_Rognvaldr.m;Рогнвалдр;
cn_Rogvolod.m;Рогволод;
cn_Rogvolod_Vasiliy.m;Рогволод-Василии;
cn_Rohese.f;Рохесе;
cn_Roland.m;Роланд;
cn_Rolf.m;Ролф;
cn_Rollo.m;Ролло;
cn_Rolv.m;Ролв;
cn_Roman.m;Роман;
cn_Romano.m;Романо;
cn_Romanos.m;Романос;
cn_Romas.m;Ромас;
cn_Romil.m;Ромил;
cn_Romolo.m;Ромоло;
cn_Roolb.m;Роолб;
cn_Rorik.m;Рорик;
cn_Rosabella.f;Росабелла;
cn_Rosalind.f;Розалинд;
cn_Rosalinde.f;Росалинде;
cn_Rosamund.f;Росамунд;
cn_Rosamunde.f;Росамунде;
cn_Rosana.f;Росана;
cn_Rose.f;Роза;
cn_Roselyne.f;Роселине;
cn_Rosmik.m;Росмик;
cn_Rosmin.m;Росмин;
cn_Rosso.m;Россо;
cn_Rostans.m;Ростанс;
cn_Rostislav.m;Ростислав;
cn_Rotgeirs.m;Ротгеирс;
cn_Rotpert.m;Ротперт;
cn_Roussel.m;Роуссел;
cn_Ruaidhri.m;Руаидхри;
cn_Ruaidri.m;Руаидри;
cn_Rualon.m;Руалон;
cn_Ruarc.m;Руарк;
cn_Rubea.f;Рубеа;
cn_Ruben.m;Рубен;
cn_Rubroek.m;Руброек;
cn_Rudabe.f;Рудабе;
cn_Rudegar.m;Рудегар;
cn_Rudina.f;Рудина;
cn_Rudolf.m;Рудолф;
cn_Rudwan.m;Рудуан;
cn_Rufus.m;Руфус;
cn_Rugger.m;Руггер;
cn_Ruggiero.m;Руггиеро;
cn_Ruhayma.f;Рухаима;
cn_Ruklys.m;Руклис;
cn_Rukn.m;Рукн;
cn_Ruland.m;Руланд;
cn_Rumayla.f;Румаила;
cn_Rumaythah.m;Румаитах;
cn_Rumi.m;Руми;
cn_Rumpolt.m;Румполт;
cn_Rupeikis.m;Рупеикис;
cn_Ruprecht.m;Рупречт;
cn_Rurik.m;Рурик;
cn_Rusa.f;Руса;
cn_Rusko.m;Руско;
cn_Rustam.m;Рустам;
cn_Rusudan.f;Русудан;
cn_Ruy.m;Руи;
cn_Rycardi.m;Рикарди;
cn_Rychard.m;Ричард;
cn_Ryksa.f;Рикса;
cn_Ryngalla.f;Рингалла;
cn_Ryngold.m;Ринголд;
cn_Saadeddine.m;Саадеддине;
cn_Saadi.m;Саади;
cn_Sabah.m;Сабах;
cn_Sabbas.m;Саббас;
cn_Sabbatina.f;Саббатина;
cn_Sabine.f;Сабине;
cn_Sabur.m;Сабур;
cn_Sadaqah.m;Садаках;
cn_Sadhbh.f;Садхбх;
cn_Sadiq.m;Садик;
cn_Sadun.m;Садун;
cn_Saemundr.m;Саемундр;
cn_Saer.m;Саер;
cn_Safiya.f;Сафия;
cn_Safwan.m;Сафуан;
cn_Safwat.f;Сафуат;
cn_Sagmantia.m;Сагмантиа;
cn_Sahak.m;Сахак;
cn_Sahip.m;Сахип;
cn_Sahnun.m;Сахнун;
cn_Said.m;Саид;
cn_Sajah.f;Саях;
cn_Sajr.m;Сайр;
cn_Sakra.f;Сакра;
cn_Sal.m;Сал;
cn_Saladin.m;Саладин;
cn_Salah.m;Салах;
cn_Salama.m;Салама;
cn_Salamon.m;Саламон;
cn_Salar.m;Салар;
cn_Salem.m;Салем;
cn_Salemma.m;Салемма;
cn_Salih.m;Салих;
cn_Salim.m;Салим;
cn_Salma.f;Салма;
cn_Salome.f;Саломе;
cn_Salomea.f;Саломеа;
cn_Salomon.m;Саломон;
cn_Salsal.f;Салсал;
cn_Saltaro.m;Салтаро;
cn_Saltuk.m;Салтук;
cn_Salusio.m;Салусио;
cn_Salustio.m;Салустио;
cn_Salvador.m;Салвадор;
cn_Salvadore.m;Салвадоре;
cn_Salvestro.m;Салвестро;
cn_Salvucio.m;Салвукио;
cn_Sambor.m;Самбор;
cn_Samdzivari.m;Самдзивари;
cn_Samir.m;Самир;
cn_Sampsa.m;Сампса;
cn_Samra.f;Самра;
cn_Samuel.m;Самуил;
cn_Samuil.m;Самуил;
cn_Samur.f;Самур;
cn_Sanad.f;Санад;
cn_Sanc.m;Санк;
cn_Sancha.f;Санча;
cn_Sanchia.f;Санчиа;
cn_Sancho.m;Санчо;
cn_Sandaki.m;Сандаки;
cn_Sandalj.m;Сандалй;
cn_Sandor.m;Сандор;
cn_Sane.m;Сане;
cn_Sanhaji.m;Санхаджи;
cn_Sanjar.m;Саняр;
cn_Sanna.f;Санна;
cn_Saphadin.m;Сафадин;
cn_Sara.f;Сара;
cn_Sara_Teodora.f;Сара-Теодора;
cn_Sarah.f;Сара;
cn_Sarahkka.f;Сарахкка;
cn_Sardinia.f;Сардиниа;
cn_Sargis.m;Саргис;
cn_Saricha.m;Сарича;
cn_Sarkis.m;Саркис;
cn_Sarracino.m;Сарракино;
cn_Sarrasine.f;Саррасине;
cn_Sartak.m;Сартак;
cn_Sartaq.m;Сартак;
cn_Sas.m;Сас;
cn_Sasiltan.m;Сасилтан;
cn_Saskia.f;Саскиа;
cn_Sassouma.f;Сассоума;
cn_Saul.m;Саул;
cn_Sava.m;Сава;
cn_Savarics.m;Саварикс;
cn_Savji.m;Савджи;
cn_Sawwar.m;Саууар;
cn_Saxo.m;Саксо;
cn_Sayer.m;Саиер;
cn_Sayf.m;Саиф;
cn_Sayyda.f;Саиида;
cn_Sayyed.m;Саииед;
cn_Sazia.f;Сазиа;
cn_Sean.m;Сеан;
cn_Seathan.m;Сеатан;
cn_Sebastian.m;Себастиян;
cn_Sebastianus.m;Себастианус;
cn_Sebastos.m;Себастос;
cn_Sebestyen.m;Себестиен;
cn_Sef.m;Сеф;
cn_Sefnyn.m;Сефнин;
cn_Segius.m;Сегиус;
cn_Segui.m;Сегуи;
cn_Seguin.m;Сегуин;
cn_Seif.m;Сеиф;
cn_Seisyll.m;Сеисилл;
cn_Semamun.m;Семамун;
cn_Semion.m;Семион;
cn_Sempad.m;Семпад;
cn_Semseddin.m;Семседдин;
cn_Senena.f;Сенена;
cn_Seneqerim.m;Сенекерим;
cn_Seneqerim_Hovhannes.m;Сенекерим-Ховханнес;
cn_Seneslav.m;Сенеслав;
cn_Senggum.m;Сенггум;
cn_Seoan.m;Сеоан;
cn_Serebandjougou.m;Серебандйоугоу;
cn_Sergije.m;Сергийе;
cn_Sergio.m;Сергио;
cn_Sergios.m;Сергиос;
cn_Sergius.m;Сергий;
cn_Serle.m;Серле;
cn_Settembrina.f;Сеттембрина;
cn_Sevics.m;Севикс;
cn_Sewal.m;Сеуал;
cn_Seyfeddin.m;Сеифеддин;
cn_Seyhan.m;Сеихан;
cn_Sgouros.m;Сгоурос;
cn_Shabib.m;Шабиб;
cn_Shadai.m;Шадаи;
cn_Shadgeldi.m;Шадгелди;
cn_Shadi.m;Шади;
cn_Shahanshah.m;Шаханшах;
cn_Shahen.m;Шахен;
cn_Shahib.m;Шахиб;
cn_Shahid.m;Шахид;
cn_Shahin.m;Шахин;
cn_Shaima.f;Шаима;
cn_Shajara.m;Шаяра;
cn_Shaka.m;Шака;
cn_Shalva.m;Шалва;
cn_Shamadavle.m;Шамадавле;
cn_Shanshe.m;Шанше;
cn_Shapur.m;Шапур;
cn_Sharaf.m;Шараф;
cn_Sharif.m;Шариф;
cn_Shavarsh.m;Шаварш;
cn_Shavur.m;Шавур;
cn_Shaw.m;Шау;
cn_Shaykhu.m;Шаикху;
cn_Shebli.m;Шебли;
cn_Sheiban.m;Шеибан;
cn_Shekanda.m;Шеканда;
cn_Shergil.m;Шергил;
cn_Shifa.f;Шифа;
cn_Shigdur.m;Шигдур;
cn_Shihab.m;Шихаб;
cn_Shihabuddin.m;Шихабуддин;
cn_Shinggu.m;Шинггу;
cn_Shirin.f;Ширин;
cn_Shirkuh.m;Ширкух;
cn_Shishman.m;Шишман;
cn_Shith.m;Шит;
cn_Shoja.m;Шоя;
cn_Shota.m;Шота;
cn_Shoushana.f;Шоушана;
cn_Shoushanik.f;Шоушаник;
cn_Shpetim.m;Шпетим;
cn_Shtjefni.m;Штйефни;
cn_Shuja.m;Шуя;
cn_Shukr.m;Шукр;
cn_Shuqayr.m;Шукаир;
cn_Shurkuh.m;Шуркух;
cn_Shushan.f;Шушан;
cn_Shvarno.m;Шварно;
cn_Siara.m;Сиара;
cn_Sibilia.f;Сибилиа;
cn_Sibislav.m;Сибислав;
cn_Sibot.m;Сибот;
cn_Sibyl.f;Сибила;
cn_Sibylla.f;Сибилла;
cn_Sibylle.f;Сибилле;
cn_Sicard.m;Сикард;
cn_Sicart.m;Сикарт;
cn_Sichelgaita.f;Сичелгаита;
cn_Sicres.m;Сикрес;
cn_Sidi.m;Сиди;
cn_Siemowit.m;Сиемоуит;
cn_Sighard.m;Сигхард;
cn_Sighvatr.m;Сигхватр;
cn_Sigismund.m;Сигизмунд;
cn_Sigmund.m;Сигмунд;
cn_Sigraf.m;Сиграф;
cn_Sigrid.f;Сигрид;
cn_Sigrlinn.f;Сигрлинн;
cn_Sigurd.m;Сигурд;
cn_Sigvadur.m;Сигвадур;
cn_Sigvid.m;Сигвид;
cn_Sikari.m;Сикари;
cn_Simamun.m;Симамун;
cn_Simeon.m;Симеон;
cn_Simo.m;Симо;
cn_Simon.m;Симон;
cn_Simone.m;Симоне;
cn_Simonida.f;Симонида;
cn_Simos.m;Симос;
cn_Sinan.m;Синан;
cn_Sindukhtar.f;Синдукхтар;
cn_Sinisha.m;Синиша;
cn_Sinka.m;Синка;
cn_Sion.m;Сион;
cn_Siraj.m;Сирай;
cn_Sirajuddin.m;Сираюддин;
cn_Sirghitmish.m;Сиргхитмиш;
cn_Sirputis.m;Сирпутис;
cn_Sissela.f;Сиссела;
cn_Sitara.f;Ситара;
cn_Sithech.m;Ситеч;
cn_Sithig.m;Ситиг;
cn_Siti.f;Сити;
cn_Siwan.f;Сиуан;
cn_Siward.m;Сиуард;
cn_Sixten.m;Сикстен;
cn_Siegfrid.m;Сиегфрид;
cn_Skalmantas.m;Скалмантас;
cn_Skirgaila.m;Скиргаила;
cn_Skirgiello.m;Скиргиелло;
cn_Skjalm.m;Скялм;
cn_Skofte.m;Скофте;
cn_Skule.m;Скуле;
cn_Slaine.f;Слаине;
cn_Slimane.m;Слимане;
cn_Smbat.m;Смбат;
cn_Smilets.m;Смилетс;
cn_Snorri.m;Снорри;
cn_Sobeslav.m;Собеслав;
cn_Sochigel.f;Сочигел;
cn_Sofia.f;Софиа;
cn_Sofiane.m;Софиане;
cn_Sofie.f;Софие;
cn_Sogolon.f;Соголон;
cn_Sohier.m;Сохиер;
cn_Sohrab.m;Сохраб;
cn_Sokmen.m;Сьокмен;
cn_Sol.f;Сол;
cn_Solaiman.m;Солаиман;
cn_Soldane.f;Солдане;
cn_Solghar.f;Солгхар;
cn_Solomon.m;Соломон;
cn_Solveig.f;Солвеиг;
cn_Sonni.m;Сонни;
cn_Sophia.f;София;
cn_Sophie.f;Софи;
cn_Sophonias.m;Софониас;
cn_Sophronius.m;Софрониус;
cn_Sorgan.m;Сорган;
cn_Sorghaghtani.f;Соргхагхтани;
cn_Sorkhokhtani.f;Соркхокхтани;
